wearit_uuid,m2c2_cogtask,participant_id,device_model,device_os,survey_date_submitted,survey_date_completed,first_char,format_valid,cogtask_all_params_checksum,interference_size,interference_time,interference_page_targets,block_id,trialset_id,cogtask_resource_checksum,block_num,trial_num,is_script,show_delay_time,cogtask_error,cogtask_type,cogtask_script,cogtask_fps,cogtask_cps,mem_free_total,user_answers,block_trial_num,dot_locations,cogtask_trial_params,interference_zip,mem_free_perc,time_stamp,response_time,interference_ratio,os,interference_text,trial_uuid,script_checksum,cogtask_name,interference_locations,cogtask_run_uuid,cogtask_display_name
f298040a-6bb5-4b4c-ab64-771863e16dc0,dotmemory,besom-sx3mn,SM-G970U,11,2022-01-25 06:43:17,2022-01-25 06:43:16,[,TRUE,7ae824add2257bee40ffbadeff839955,80,8000,6,1,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,1,true,1000,,script,dotmemory,59.84956555569965,59.33082609259499,NA, 0_3 3_4 4_3,0, 4_2 1_0 0_1,"{instructions:quick_instructions,readytime:1000,trialnum:5,efratio:5,showdelaytime:1000,eftime:8000,dotpresenttime:3000,script:dotmemory}",dotmemory.zip,NA,2022/01/25 06:40:46,1098,5,android,Touch the Fu0027s!,389ed4f7-6188-431e-8a45-5bb33891675a,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:5a0799913d0251514576e5386beb0cfc,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,840_0_1_1_1_163_250 1926_0_4_1_1_390_269 3357_0_3_5_0_290_546 3793_0_3_4_1_300_512 4260_0_4_5_1_392_604 6483_0_3_6_1_319_678 7226_0_3_6_0_290_628 7603_0_4_7_0_414_744 7945_0_4_5_0_388_579,04c33822-6c80-4c03-aa9d-501c51c51d4b,Dot Memory
f298040a-6bb5-4b4c-ab64-771863e16dc0,dotmemory,besom-sx3mn,SM-G970U,11,2022-01-25 06:43:17,2022-01-25 06:43:16,[,TRUE,7ae824add2257bee40ffbadeff839955,80,8000,6,1,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,2,true,1000,,script,dotmemory,59.805647948868454,59.21867866692754,NA, 2_2 2_3 2_4,0, 2_0 1_2 0_1,"{instructions:quick_instructions,readytime:1000,trialnum:5,efratio:5,showdelaytime:1000,eftime:8000,dotpresenttime:3000,script:dotmemory}",dotmemory.zip,NA,2022/01/25 06:41:01,1043,5,android,Touch the Fu0027s!,9c3f46a7-06c5-4eb1-899d-fa014963d58e,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:5a0799913d0251514576e5386beb0cfc,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,797_0_0_0_1_40_193 1190_0_1_0_1_158_203 1507_0_2_1_1_244_257 1942_0_4_3_1_406_427 2577_0_0_4_1_83_504 2844_0_2_4_1_248_498 4266_1_0_6_1_85_666 4533_1_1_7_1_176_763 5085_1_4_3_1_402_399 5844_1_2_0_0_187_178 6188_1_4_0_0_350_190 6924_1_1_4_1_167_501,04c33822-6c80-4c03-aa9d-501c51c51d4b,Dot Memory
f298040a-6bb5-4b4c-ab64-771863e16dc0,dotmemory,besom-sx3mn,SM-G970U,11,2022-01-25 06:43:17,2022-01-25 06:43:16,[,TRUE,7ae824add2257bee40ffbadeff839955,80,8000,6,1,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,3,true,1000,,script,dotmemory,59.77309562398703,59.44894651539708,NA, 2_4 3_4 4_4,0, 2_4 3_1 0_3,"{instructions:quick_instructions,readytime:1000,trialnum:5,efratio:5,showdelaytime:1000,eftime:8000,dotpresenttime:3000,script:dotmemory}",dotmemory.zip,NA,2022/01/25 06:41:16,1126,5,android,Touch the Fu0027s!,05fdeac8-2d84-40be-8da8-1a1db0730464,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:5a0799913d0251514576e5386beb0cfc,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,638_0_0_2_1_79_341 1056_0_0_7_1_79_744 2016_0_2_6_1_239_675 2451_0_1_0_1_168_201 2979_0_2_1_1_257_263 3463_0_2_2_1_243_355 5260_1_2_4_1_246_510 5789_1_4_6_1_398_656 6306_1_4_7_1_402_750 6976_1_3_1_1_336_264 7902_1_1_6_1_142_666,04c33822-6c80-4c03-aa9d-501c51c51d4b,Dot Memory
f298040a-6bb5-4b4c-ab64-771863e16dc0,dotmemory,besom-sx3mn,SM-G970U,11,2022-01-25 06:43:17,2022-01-25 06:43:16,[,TRUE,7ae824add2257bee40ffbadeff839955,80,8000,6,1,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,4,true,1000,,script,dotmemory,59.82689999368248,59.321498515383155,NA, 0_3 1_3 2_3,0, 3_2 2_3 4_4,"{instructions:quick_instructions,readytime:1000,trialnum:5,efratio:5,showdelaytime:1000,eftime:8000,dotpresenttime:3000,script:dotmemory}",dotmemory.zip,NA,2022/01/25 06:41:32,1377,5,android,Touch the Fu0027s!,15584194-3fb3-4634-a4de-769930bf3553,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:5a0799913d0251514576e5386beb0cfc,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,665_0_2_1_1_247_270 958_0_1_0_1_167_191 1477_0_4_3_1_415_414 2264_0_3_7_1_322_736 2838_0_1_3_1_157_426 3524_0_4_1_1_402_269 5046_1_1_5_1_158_597 5841_1_4_6_1_397_653 6208_1_3_5_1_322_595 6594_1_0_1_1_80_276 7096_1_3_0_1_326_172 7520_1_3_3_1_339_430,04c33822-6c80-4c03-aa9d-501c51c51d4b,Dot Memory
f298040a-6bb5-4b4c-ab64-771863e16dc0,dotmemory,besom-sx3mn,SM-G970U,11,2022-01-25 06:43:17,2022-01-25 06:43:16,[,TRUE,7ae824add2257bee40ffbadeff839955,80,8000,6,1,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,5,true,1000,,script,dotmemory,59.8334401024984,59.44907110826394,NA, 0_2 1_2 2_3,0, 4_4 1_0 3_1,"{instructions:quick_instructions,readytime:1000,trialnum:5,efratio:5,showdelaytime:1000,eftime:8000,dotpresenttime:3000,script:dotmemory}",dotmemory.zip,NA,2022/01/25 06:41:48,1329,5,android,Touch the Fu0027s!,cbb7e2c2-b11b-470d-bdeb-043c552f232f,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:5a0799913d0251514576e5386beb0cfc,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,502_0_0_2_1_80_343 1089_0_0_4_1_79_494 1396_0_0_3_1_79_415 1897_0_3_6_1_321_662 2158_0_3_7_1_334_765 2743_0_4_2_1_404_329 4599_1_0_7_1_86_750 5017_1_2_3_1_234_418 5442_1_4_3_1_400_434 5971_1_2_1_1_260_282 6412_1_4_2_1_397_346 6639_1_1_0_1_158_191,04c33822-6c80-4c03-aa9d-501c51c51d4b,Dot Memory
D50EB15E-136D-4F83-BF7E-52CF03892BC7,dotmemory,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,42ef55796564bbb4b3064e9e117654f1,80,8000,6,1,0,"{dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,1,true,1000,,gamescript,dotmemory,59.70149253731343,59.70149253731343,NA, 1_2 2_2 3_2,0, 4_4 1_0 0_3,"{script:dotmemory,showdelaytime:1000,efratio:5,readytime:1000,dotpresenttime:3000,trialnum:5,eftime:8000}",dotmemory.zip,NA,2022/01/19 14:25:02,22709,5,ios,Touch the F's!,f9940dc9-5d7a-460a-a80a-106ef6cf8006,"{GBox.js:9c44756dbeb2733973b0bc3ec7784187,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,dotmemory.js:855075e8488769f0b6bccde54bdf310e,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KFile.js:5875df58116ef3e3aca293afdc753ec9,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,KAlpha.js:fdac535470841697614a578b451f6d35,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,GameParams.js:490f208599f26a512a0603d6feb03909,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GButton.js:a4b2cda308803649f182677b95c3c86a,Entity.js:c946612f44aee711daf56d2e00ab0b20,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7}",Dot Memory,659_0_3_4_1_319_518 1325_0_3_3_0_266_433 1809_0_4_1_1_401_281,11f53944-e30f-4fc0-abd1-b8781275f027,Dot Memory
D50EB15E-136D-4F83-BF7E-52CF03892BC7,dotmemory,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,42ef55796564bbb4b3064e9e117654f1,80,8000,6,1,0,"{dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,1,true,1000,,gamescript,dotmemory,59.84732824427481,59.84732824427481,NA, 0_3 3_3 3_4,0, 3_2 1_3 0_4,"{eftime:8000,script:dotmemory,readytime:1000,efratio:5,trialnum:5,showdelaytime:1000,dotpresenttime:3000}",dotmemory.zip,NA,2022/01/19 14:25:22,5359,5,ios,Touch the F's!,e12c086a-d25b-4101-9478-7063e4b8c401,"{GBox.js:9c44756dbeb2733973b0bc3ec7784187,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,dotmemory.js:855075e8488769f0b6bccde54bdf310e,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KFile.js:5875df58116ef3e3aca293afdc753ec9,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,KAlpha.js:fdac535470841697614a578b451f6d35,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,GameParams.js:490f208599f26a512a0603d6feb03909,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GButton.js:a4b2cda308803649f182677b95c3c86a,Entity.js:c946612f44aee711daf56d2e00ab0b20,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7}",Dot Memory,,11f53944-e30f-4fc0-abd1-b8781275f027,Dot Memory
D50EB15E-136D-4F83-BF7E-52CF03892BC7,dotmemory,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,42ef55796564bbb4b3064e9e117654f1,80,8000,6,1,0,"{dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,1,true,1000,,gamescript,dotmemory,59.937727036844834,59.937727036844834,NA, 1_2 2_2 2_3,0, 0_1 2_3 3_2,"{eftime:8000,script:dotmemory,readytime:1000,efratio:5,trialnum:5,showdelaytime:1000,dotpresenttime:3000}",dotmemory.zip,NA,2022/01/19 14:25:37,1134,5,ios,Touch the F's!,09064530-3bb9-417d-8f69-f7d99c7c78db,"{GBox.js:9c44756dbeb2733973b0bc3ec7784187,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,dotmemory.js:855075e8488769f0b6bccde54bdf310e,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KFile.js:5875df58116ef3e3aca293afdc753ec9,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,KAlpha.js:fdac535470841697614a578b451f6d35,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,GameParams.js:490f208599f26a512a0603d6feb03909,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GButton.js:a4b2cda308803649f182677b95c3c86a,Entity.js:c946612f44aee711daf56d2e00ab0b20,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7}",Dot Memory,984_0_0_4_1_80_527 1409_0_3_7_1_329_753 1617_0_1_6_1_161_674 1876_0_4_4_1_404_502 2475_0_1_2_1_161_357 3034_0_3_0_1_317_196 4459_1_0_4_1_80_516 5142_1_4_5_1_419_565 5592_1_4_4_0_408_465 5925_1_4_3_1_397_419 6075_1_2_2_1_244_352 6325_1_4_1_1_400_274 6609_1_2_0_1_246_193,11f53944-e30f-4fc0-abd1-b8781275f027,Dot Memory
D50EB15E-136D-4F83-BF7E-52CF03892BC7,dotmemory,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,42ef55796564bbb4b3064e9e117654f1,80,8000,6,1,0,"{dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,1,true,1000,,gamescript,dotmemory,56.12069235343829,56.12069235343829,NA, 0_3 3_3 3_4,0, 4_3 0_1 3_2,"{script:dotmemory,showdelaytime:1000,efratio:5,readytime:1000,dotpresenttime:3000,trialnum:5,eftime:8000}",dotmemory.zip,NA,2022/01/19 14:26:09,17687,5,ios,Touch the F's!,ecc8fa14-1fbe-49ec-b90a-efa55bb183a4,"{GBox.js:9c44756dbeb2733973b0bc3ec7784187,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,dotmemory.js:855075e8488769f0b6bccde54bdf310e,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KFile.js:5875df58116ef3e3aca293afdc753ec9,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,KAlpha.js:fdac535470841697614a578b451f6d35,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,GameParams.js:490f208599f26a512a0603d6feb03909,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GButton.js:a4b2cda308803649f182677b95c3c86a,Entity.js:c946612f44aee711daf56d2e00ab0b20,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7}",Dot Memory,,11f53944-e30f-4fc0-abd1-b8781275f027,Dot Memory
D50EB15E-136D-4F83-BF7E-52CF03892BC7,dotmemory,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,42ef55796564bbb4b3064e9e117654f1,80,8000,6,1,0,"{dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,1,true,1000,,gamescript,dotmemory,39.96791872744285,39.96791872744285,NA, 1_2 1_3 2_4,0, 1_4 0_0 3_3,"{eftime:8000,script:dotmemory,readytime:1000,efratio:5,trialnum:5,showdelaytime:1000,dotpresenttime:3000}",dotmemory.zip,NA,2022/01/19 14:26:31,7504,5,ios,Touch the F's!,d4b9aab4-a295-4e22-a4f5-ad49125811d2,"{GBox.js:9c44756dbeb2733973b0bc3ec7784187,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,dotmemory.js:855075e8488769f0b6bccde54bdf310e,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KFile.js:5875df58116ef3e3aca293afdc753ec9,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,KAlpha.js:fdac535470841697614a578b451f6d35,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,GameParams.js:490f208599f26a512a0603d6feb03909,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GButton.js:a4b2cda308803649f182677b95c3c86a,Entity.js:c946612f44aee711daf56d2e00ab0b20,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7}",Dot Memory,2984_0_1_2_1_175_359 4301_0_4_2_1_400_363,11f53944-e30f-4fc0-abd1-b8781275f027,Dot Memory
